"d5c394cd","b","a","c","d","e","h","i","f","g","1511101670959"
"fdc4f07b","10","pruned","easy","true","true","261677","32239","31","3","1511191534692"
"d8f4f271","10","verify","hard","true","false","60446","103279","23","11","1511191610613"
"a0f4f1bf","6","pruned","hard","true","false","391864","75650","47","5","1511191710018"
"4de4f27d","10","full","medium","false","false","369961","92228","48","0","1511191886735"
"9bf4f2c6","6","full","easy","false","false","131965","37215","5","0","1511191929389"
"c8d4f2af","10","full","easy","false","false","558614","41030","76","0","1511191975715"
"f4c4f33c","10","pruned","hard","false","false","334442","117274","26","0","1511192072293"
"13e4f569","6","pruned","hard","false","false","28344","21084","0","0","1511192093993"
"b4a4f22a","10","full","easy","false","false","604723","64718","70","0","1511192125137"
"6aa4f436","6","pruned","easy","true","false","98434","45454","3","3","1511192176007"
"40f4f3b7","10","verify","medium","true","true","276270","64257","35","3","1511192180745"
"94a4f5d4","10","pruned","medium","true","true","77794","31385","11","3","1511192216565"
"4eb4f441","10","pruned","easy","true","true","200409","52251","10","3","1511192234348"
"f3f4f4ae","10","pruned","hard","false","false","147702","43382","10","0","1511192397691"
"a0a4f4ea","10","full","medium","false","false","283909","79178","33","0","1511192426312"
"a0a4f682","10","verify","easy","false","false","54167","56160","3","0","1511192565054"
"f5f4f7a6","6","verify","hard","false","false","37788","18992","2","0","1511192748087"
"27b4f894","10","pruned","medium","false","false","43283","17134","0","0","1511192890826"
"d9e4f7e5","10","pruned","hard","false","false","108645","36806","7","0","1511192952379"
"fcf4f6d3","10","full","easy","false","false","389048","40868","29","0","1511193032707"
"8df4f6e8","6","full","easy","true","true","275397","27064","39","5","1511192852399"
"bfb4f8b6","10","verify","easy","false","false","213160","20879","0","0","1511193139121"
"b3e4f78d","6","full","easy","false","false","134635","87518","24","0","1511193240047"
"c8c4f85a","10","full","easy","true","true","183210","55877","24","4","1511193303679"
"1ff4f828","10","full","hard","false","false","385327","26884","26","0","1511193318651"
"2fb4f99a","10","full","hard","true","true","91311","46773","14","5","1511193337943"
"eab4f759","6","verify","easy","true","false","362677","155459","24","10","1511193375030"
"6cc4f8b6","10","full","easy","false","false","337219","32226","47","0","1511193496854"
"9df4fabc","10","verify","easy","false","false","61926","20970","2","0","1511193536837"
"f1e4f80f","10","verify","hard","false","false","106693","176209","13","0","1511193492043"
"f4a4f74e","10","pruned","hard","false","false","603198","28638","21","0","1511193887663"
"44a4fa14","6","full","hard","false","false","110075","35654","25","0","1511193944686"
"c8a4fa50","6","full","hard","false","false","574899","33278","54","0","1511193969121"
"3ff4fc88","6","verify","easy","false","false","44182","43317","16","0","1511194062461"
"efd4fa4a","10","pruned","hard","false","false","313523","25138","36","0","1511194099538"
"b8a4fbaa","10","full","easy","false","false","306194","39999","35","0","1511194068808"
"9ee4fc82","10","verify","hard","true","false","119635","76495","11","4","1511194193541"
"b7a4fe27","6","full","hard","false","false","83817","95046","12","0","1511194633501"
"31b4fc9e","10","full","easy","true","true","418323","69452","30","4","1511194652698"
"28d4fefb","10","pruned","hard","true","true","176238","45882","51","4","1511194879181"
"9ea4fe94","10","full","medium","false","false","95412","48384","14","0","1511194836855"
"54d4fd9d","10","full","medium","true","false","596860","74866","97","4","1511194852539"
"30e4feac","6","pruned","hard","false","false","288720","47121","18","0","1511194946746"
"20a4fec4","10","full","easy","true","false","251055","42373","16","4","1511194954880"
"a0b4ff47","10","verify","easy","true","false","86305","125104","2","9","1511195022668"
"13f4ff5a","10","full","hard","false","false","311356","43447","28","0","1511195110002"
"e1e500d7","6","pruned","hard","true","true","46754","46269","16","12","1511195252498"
"cdc50047","10","pruned","easy","true","true","302746","38326","47","6","1511195411383"
"d6d500ab","6","full","easy","false","false","426683","59973","22","0","1511195490991"
"85e50169","10","full","medium","true","true","309684","36572","24","4","1511195660422"
"34e50208","10","verify","medium","false","false","334702","54871","14","0","1511195760324"
"a3e50415","6","verify","easy","false","false","56977","41589","6","0","1511196106531"
"b0d5043d","10","full","medium","false","false","202920","79405","35","0","1511196262532"
"dfd505e2","6","verify","hard","false","false","153038","45459","18","0","1511196387373"
"75e508ab","10","verify","easy","false","false","117923","103655","16","0","1511197321741"
"87b50908","6","full","hard","true","false","150994","126183","35","11","1511197340496"
"8ea50714","10","pruned","hard","false","false","577712","38744","56","0","1511197395967"
"bed50a1d","6","full","hard","true","true","189777","36932","28","5","1511197848629"
"f9f50afe","10","verify","medium","false","false","165414","26936","13","0","1511197907789"
"9dc50a3d","6","full","hard","false","false","492746","63819","75","0","1511198155903"
"82d50e5b","6","pruned","easy","true","false","18349","4602","0","0","1511198421104"
"bbf50b30","10","verify","medium","true","false","547135","52009","33","2","1511198563366"
"4dc50d03","6","pruned","easy","false","false","583218","28100","52","0","1511198838608"
"2ff50f64","6","pruned","hard","false","false","72778","31346","19","0","1511198903603"
"e0a50f9e","10","verify","hard","true","true","154776","41256","25","4","1511199080849"
"dcb510f3","10","verify","medium","true","true","68431","39120","20","7","1511199197442"
"b7e510d3","6","pruned","easy","true","true","74618","37218","15","3","1511199286713"
"6cd50fc7","10","full","easy","true","true","306013","27955","44","4","1511199287479"
"add50f98","10","full","hard","false","false","383130","64810","22","0","1511199389030"
"abc5100b","10","verify","easy","true","true","339633","42669","27","3","1511199480132"
"99f511a0","10","verify","easy","true","false","113682","75705","2","4","1511199698411"
"16e512d0","6","pruned","easy","true","true","200549","27000","30","3","1511199821387"
"62b5140d","6","pruned","easy","false","false","80789","63159","2","0","1511200065759"
"a7b511d6","10","full","medium","false","false","590149","20471","101","0","1511200074048"
"b9e512db","6","pruned","hard","false","false","154192","119536","26","0","1511199926159"
"4bc513ef","10","verify","hard","true","false","558510","53480","37","3","1511200625516"
"3cb51601","10","verify","easy","false","false","136904","49784","11","0","1511200668085"
"43c516b5","10","pruned","medium","true","true","92325","15054","16","3","1511200721780"
"16d516ad","6","pruned","hard","false","false","111798","27086","10","0","1511200770660"
"cdc514e1","10","pruned","hard","false","false","594371","9898","71","0","1511200867630"
"bae515f2","6","full","hard","false","false","202651","43331","16","0","1511200894242"
"bcf51783","10","pruned","hard","false","false","98160","17580","10","0","1511200968560"
"3ac5170c","10","full","easy","true","true","204207","48035","25","4","1511201022525"
"fad517c1","10","pruned","hard","false","false","73999","25466","0","0","1511201264025"
"51b517a2","10","verify","medium","true","false","172588","89145","18","6","1511201266309"
"34d51755","10","full","medium","false","false","209491","98929","10","0","1511201312914"
"d1f5198a","10","pruned","hard","false","false","76640","68471","0","0","1511201468175"
"88e518be","6","verify","hard","false","false","96771","33832","1","0","1511201603569"
"b0d518a1","6","full","hard","false","false","555476","50949","68","0","1511201834955"
"55d519b6","10","full","easy","false","false","466386","45463","18","0","1511202001256"
"59d51c4c","6","full","easy","false","false","185365","11317","35","0","1511202184577"
"9da51cdd","10","pruned","medium","true","true","274582","67879","53","6","1511202647963"
"6bf51f66","6","full","hard","false","false","90770","65327","14","0","1511202960459"
"d3b525de","6","full","easy","false","false","514198","60247","61","0","1511205094089"
"6defcd53","10","pruned","easy","true","true","40690","29584","9","3","1511902820361"
"cbdfceda","10","verify","easy","true","true","25771","8685","9","3","1511903354648"
"39afd1eb","10","pruned","easy","true","true","104220","22944","11","3","1511904065922"
"d5ffd22c","10","verify","medium","false","false","113707","36507","15","0","1511904130315"
"1effd24d","10","verify","hard","true","true","81293","53719","11","4","1511904194391"
"faafd1c6","6","pruned","easy","true","true","113228","45384","2","3","1511904229869"
"81bfd23a","6","verify","hard","false","false","37585","43599","12","0","1511904322157"
"c5efd1f3","10","verify","medium","false","false","576960","17806","76","0","1511904483017"
"daefd33a","6","pruned","hard","false","false","72349","25351","6","0","1511904502831"
"96afd320","6","pruned","easy","true","true","221900","54543","21","3","1511904669587"
"c0dfd341","10","full","easy","true","true","379187","70760","48","4","1511904686489"
"cccfd3ac","10","full","easy","false","false","375458","28715","85","0","1511904734921"
"e6ffd3bf","6","verify","hard","true","true","245609","47041","23","4","1511904850763"
"bcdfd2df","6","full","hard","false","false","527864","48492","61","0","1511904873781"
"a7bfd4fc","10","pruned","easy","false","false","176303","13287","18","0","1511904873702"
"ecefd3a0","10","pruned","medium","false","false","562340","12787","95","0","1511904965574"
"8defd34b","10","pruned","easy","false","false","609880","72854","47","0","1511905294848"
"dacfd3d4","10","full","easy","false","false","404456","10510","77","0","1511905256105"
"f2cfd69e","6","verify","easy","false","false","267560","9004","39","0","1511905429436"
"f8efd664","10","pruned","easy","true","true","122392","37411","31","3","1511905450825"
"20bfd7bd","6","full","hard","false","false","62567","49541","14","0","1511905653423"
"6eafd47a","10","verify","medium","true","true","194066","54813","24","3","1511905550564"
"31cfd831","10","pruned","medium","false","false","79745","43368","4","0","1511905857541"
"c3dfd812","10","pruned","easy","true","true","544670","33664","83","3","1511906099495"
"9befd8ad","10","full","hard","false","false","229620","54926","18","0","1511906109161"
"91cfd7fb","6","full","hard","true","true","369127","48194","48","5","1511906213085"
"75ffd9e8","10","full","hard","false","false","346631","22973","31","0","1511906364601"
"9defd82d","6","full","easy","false","false","583676","21099","58","0","1511906637286"
"73cfde1f","10","verify","easy","false","false","18994","14988","13","0","1511907117003"
"9eefde0e","10","verify","medium","true","true","101274","49986","8","4","1511907258948"
"25cfdeaf","6","pruned","hard","false","false","146641","28868","16","0","1511907299472"
"29efded7","6","verify","hard","false","false","152902","49145","20","0","1511907420478"
"26dfddb3","10","verify","hard","false","false","215079","91573","13","0","1511907440883"
"9effe013","10","verify","hard","true","true","233229","37479","21","4","1511908008850"
"76bfdf0b","10","pruned","easy","false","false","607700","83240","43","0","1511908142316"
"4cffe209","10","full","medium","false","false","157860","73276","49","0","1511908221954"
"95efe40b","10","verify","hard","false","false","50869","59780","5","0","1511908634018"
"7ccfe470","10","verify","hard","false","false","49614","52210","8","0","1511908884598"
"e1bfe620","6","verify","hard","false","false","148098","27022","26","0","1511909253733"
"5dbfe29c","6","pruned","hard","false","false","226369","59550","43","0","1511909350842"
"ceafe698","10","pruned","easy","true","true","193157","29646","17","3","1511909421193"
"2bcfe659","6","full","easy","false","false","573573","62591","66","0","1511909825028"
"27afe7e1","10","verify","medium","false","false","187378","44977","19","0","1511909834703"
"5eefe7f6","10","verify","medium","true","false","177614","65192","13","3","1511909851908"
"11dfe866","6","pruned","easy","true","true","213868","46377","19","3","1511910057294"
"65afea1f","6","pruned","hard","false","false","97134","82155","8","0","1511910444335"
"4ecfea32","10","pruned","easy","false","false","571635","33409","67","0","1511910775762"
"5acfeabc","6","full","easy","true","true","65006","27110","13","4","1511910773220"
"d4cfee02","10","verify","hard","false","false","63467","3095","2","0","1511911086480"
"87cfed83","10","full","hard","true","false","146140","48510","4","5","1511911271812"
"e1efebd5","10","verify","medium","true","false","297757","46292","44","3","1511911343281"
"e6efec72","10","pruned","hard","true","false","584816","57640","53","4","1511911362431"
"ebafeec1","6","verify","easy","false","false","67748","45866","14","0","1511911367355"
"d4dfef7d","6","verify","hard","false","false","111366","13541","20","0","1511911633834"
"c8afed22","6","pruned","easy","true","false","457405","51816","44","5","1511911748087"
"2defedbb","10","verify","hard","true","true","404671","45631","68","9","1511911784855"
"25dfef96","6","full","easy","true","true","387312","28928","22","4","1511911831336"
"2cfff069","10","verify","easy","true","true","485047","77975","55","3","1511912460432"
"29bff31a","10","pruned","easy","true","true","81028","31478","4","3","1511912741852"
"f9eff337","10","verify","medium","false","false","51095","117359","6","0","1511912794487"
"d5aff345","10","pruned","easy","false","false","587698","97641","93","0","1511913323477"
"eaaff660","10","full","medium","false","false","153334","66064","18","0","1511913519806"
"f6dff843","6","verify","hard","true","false","175326","45525","22","3","1511913898873"
"8dcff965","10","verify","easy","false","false","18832","39926","3","0","1511914038287"
"66dff6c9","10","verify","hard","true","false","228269","113943","22","10","1511914063770"
"a6bff327","6","full","easy","false","false","608019","50202","31","0","1511914125725"
"3acff9fa","6","full","easy","false","false","152156","15902","7","0","1511914302397"
"5adff9a5","6","pruned","hard","false","false","257748","32249","25","0","1511914361852"
"edfff93e","10","pruned","hard","false","false","293346","52939","16","0","1511914443039"
"fcaffad4","6","pruned","hard","false","false","370941","24473","71","0","1511914859666"
"4bfffc8c","10","pruned","hard","false","false","106395","27640","11","0","1511914987064"
"1abff95f","10","verify","easy","false","false","316737","40842","32","0","1511915153308"
"46dffd07","6","verify","hard","true","false","81208","60875","9","3","1511915236613"
"34cffc40","6","full","easy","true","false","369827","39002","35","5","1511915539202"
"37bffc4e","10","full","easy","true","true","538974","103072","32","8","1511915605047"
"1feffe13","10","pruned","medium","true","true","57146","18057","6","3","1511915588096"
"c7fffe38","6","pruned","hard","false","false","290809","79185","30","0","1511915614322"
"c9affe07","10","verify","medium","false","false","283657","29570","43","0","1511915518743"
"89bfff56","10","verify","hard","false","false","64751","114250","2","0","1511915842342"
"67ffffdc","10","verify","medium","true","false","53269","17476","15","3","1511915849433"
"1ccfff1c","6","verify","hard","false","false","161080","37785","8","0","1511915885233"
"70bffd4d","10","full","easy","false","false","603564","122648","74","0","1511915900256"
"c7dffe06","10","verify","medium","false","false","295875","7493","32","0","1511916231135"
"64e101fa","10","verify","easy","false","false","38816","80456","2","0","1511916378610"
"32b10037","6","full","easy","false","false","587130","38151","80","0","1511916378729"
"e1b100ae","6","pruned","easy","true","true","301615","57858","47","3","1511916508471"
"c6c100be","10","full","medium","true","true","428911","106593","77","10","1511916600329"
"2fd101b0","10","pruned","easy","false","false","229629","125053","64","0","1511916621483"
"81a10227","10","full","medium","true","false","206954","128295","30","22","1511916724668"
"3ed10123","10","verify","medium","true","false","146614","126263","6","14","1511916863879"
"b6a1020a","6","verify","hard","false","false","562778","34382","42","0","1511916877349"
"6dd103e2","6","pruned","hard","false","false","208549","63736","34","0","1511916954373"
"d7c103c5","10","verify","medium","false","false","67828","198686","12","0","1511916959921"
"6bb10472","6","pruned","hard","true","true","80794","19271","11","4","1511917011707"
"76c104da","10","full","easy","false","false","150347","44798","5","0","1511917115864"
"55a104ab","6","verify","easy","true","true","149785","33328","21","3","1511917156283"
"41f104b8","10","verify","hard","false","false","143169","35289","7","0","1511917244196"
"98d105c1","10","full","hard","true","true","198324","48027","16","5","1511917398128"
"d0a1059e","10","verify","medium","true","false","134750","53814","17","2","1511917415765"
"f8f1048b","10","verify","hard","true","true","301331","35185","56","4","1511917478050"
"50b1070f","10","verify","easy","false","false","131429","30156","10","0","1511917705750"
"19a105e3","6","pruned","easy","true","true","495231","44593","59","3","1511917915672"
"28a1081a","10","verify","medium","true","true","137691","70661","44","6","1511918048574"
"e9b10766","10","pruned","medium","true","true","178163","19864","18","3","1511918145281"
"e0a10efa","10","full","medium","true","false","131089","49031","11","4","1511919782163"
"98c10b8a","10","pruned","hard","false","false","144900","28243","18","0","1511918834502"
"9db10b00","6","pruned","easy","true","true","238700","61535","9","3","1511919141043"
"92e10bf2","6","verify","hard","true","true","163524","37529","10","4","1511919178717"
"cec10cc8","10","pruned","easy","true","true","139476","44376","8","3","1511919293400"
"cff10c9a","10","full","easy","true","true","403856","39285","39","4","1511919538423"
"e2b10de5","10","pruned","hard","true","true","289031","33292","37","4","1511919645641"
"fac10d6e","6","full","hard","false","false","285264","111324","29","0","1511919656356"
"3ef10f17","6","verify","easy","false","false","141949","32659","11","0","1511919767760"
"b9e10f8b","10","pruned","easy","true","true","235980","32215","23","3","1511920083293"
"d6c10e9a","10","full","easy","false","false","606531","47392","51","0","1511920154265"
"7ae11252","6","verify","hard","false","false","88796","92869","4","0","1511920654672"
"49d11228","10","verify","medium","false","false","256653","15110","20","0","1511920653899"
"c9c1128b","6","verify","hard","true","true","147380","21927","17","4","1511920787112"
"efd11272","6","verify","easy","true","true","249387","189110","14","10","1511921266206"
"92d1148b","6","verify","hard","true","false","53742","99712","14","6","1511921450526"
"3de115e3","6","verify","easy","false","false","97977","48774","6","0","1511921565249"
"3ed1161d","10","pruned","medium","false","false","60144","31254","23","0","1511921585702"
"5de11557","6","full","easy","true","true","424004","24896","50","4","1511921737856"
"a5e116c5","10","full","medium","false","false","100614","36400","13","0","1511921877119"
"31e117c9","6","pruned","hard","false","false","130353","119056","6","0","1511921939419"
"9ba1165f","10","pruned","medium","true","false","182018","114610","13","7","1511922222725"
"8cb11747","10","verify","easy","false","false","155485","264849","41","0","1511922330753"
"46c1177c","10","verify","medium","true","true","189728","76934","13","3","1511922348905"
"b0e1157c","6","pruned","hard","false","false","428970","99638","31","0","1511922383453"
"7cc119e0","6","pruned","easy","true","true","104970","26381","32","3","1511922530852"
"f8e11654","10","full","medium","true","true","376826","61677","49","4","1511922584500"
"19e11a15","6","verify","hard","false","false","240467","26256","41","0","1511922678978"
"91f11aa0","10","verify","hard","true","false","30391","141838","5","8","1511922888489"
"acb11b17","10","pruned","easy","true","true","123160","71260","8","3","1511923043227"
"3df11bae","6","full","hard","true","false","414337","58520","27","5","1511923344784"
"81c11c9f","6","pruned","hard","true","true","187597","45160","18","4","1511923393049"
"b8a11f60","6","full","easy","false","false","89413","118075","4","0","1511924107959"
"daa11f50","10","pruned","medium","false","false","299246","98174","19","0","1511924214446"
"9dd11e8e","10","pruned","medium","false","false","608956","95526","50","0","1511924434185"
"e6c120ae","10","verify","hard","false","false","251824","49652","29","0","1511924474372"
"a2c12212","10","pruned","easy","false","false","89169","35482","5","0","1511924587034"
"48f11e67","10","verify","medium","false","false","585762","63939","61","0","1511924590037"
"edf12206","10","full","hard","false","false","180198","35044","33","0","1511924658351"
"17e120dd","6","full","hard","true","false","418239","98258","43","5","1511924695237"
"7ef11f8d","10","pruned","hard","false","false","349329","60605","35","0","1511924728682"
"1da121b1","10","verify","medium","false","false","170151","65778","49","0","1511924672473"
"8dc12353","6","verify","easy","false","false","139084","29128","10","0","1511924912414"
"81b12208","6","verify","hard","true","false","175176","81326","18","3","1511924915230"
"f9c123d7","6","full","easy","true","true","142270","29325","32","4","1511925220288"
"bca124ea","10","full","medium","true","false","131414","62203","13","3","1511925617621"
"46c12352","10","pruned","easy","true","true","302017","78927","20","3","1511925800797"
"74e11ee8","6","pruned","hard","true","true","99524","68562","2","4","1511925850509"
"4cb124e9","10","verify","easy","false","false","104823","106257","70","0","1511926311493"
"edc12671","10","verify","hard","true","false","306854","81810","20","5","1511926485277"
"34b12db9","10","full","hard","true","false","157994","92100","18","6","1511927706831"
"abd12ee2","10","pruned","medium","true","true","144663","57940","17","3","1511928142285"
"c7a67aab","6","full","hard","false","false","241154","13952","56","0","1512274999048"
"39b67ab6","10","full","medium","false","false","162120","39293","15","0","1512275294005"
"d6b67ee1","6","full","easy","true","true","327699","37394","29","4","1512276408210"
"19b680e2","10","pruned","medium","true","true","115018","39075","16","3","1512276695926"
"28e67c08","10","full","hard","true","true","122677","101483","48","5","1512276719689"
"26e680e4","10","full","easy","false","false","553103","43925","59","0","1512277024171"
"65f68460","10","full","hard","true","true","84955","26158","15","5","1512277613363"
"7cf6845b","10","full","hard","false","false","464727","93656","37","0","1512278002927"
"d0e6841e","10","full","easy","true","true","537262","142307","81","15","1512278163101"
"a2d68973","10","full","easy","false","false","208312","27827","15","0","1512278981722"
"d0f687f1","10","pruned","medium","false","false","603770","157112","41","0","1512278984454"
"f1c68edb","10","full","easy","false","false","495967","137642","26","0","1512280522031"
"4fb692a0","10","pruned","easy","false","false","65579","78494","8","0","1512281125545"
"2fe692a5","10","full","easy","true","true","164856","22430","8","4","1512281137729"
"55c68fc5","10","full","easy","false","false","570634","49865","86","0","1512281160726"
"33b693e2","6","pruned","easy","false","false","133679","17127","31","0","1512281445098"
"23b6924e","10","full","easy","false","false","596781","36757","101","0","1512281536554"
"1df6940e","10","full","hard","true","true","192040","64666","12","5","1512281931575"
"44b696ef","10","pruned","easy","false","false","81242","27101","2","0","1512282121697"
"72e6961c","10","full","medium","true","true","298968","50301","8","4","1512282155603"
"95e69707","10","pruned","medium","true","true","151557","30694","17","3","1512282360771"
"18a695e2","10","pruned","hard","false","false","545517","77485","69","0","1512282575839"
"92f69945","10","pruned","easy","true","true","131344","52794","15","3","1512282771203"
"e1b6994c","10","pruned","medium","true","true","70664","45258","3","3","1512282807311"
"8bc69c49","10","full","hard","false","false","399725","20320","84","0","1512283812778"
"67f69d24","10","full","easy","false","false","325599","64852","14","0","1512284051984"
"e5b69f84","10","full","medium","true","false","105570","55492","13","4","1512284795906"
"76f6a1e9","10","pruned","medium","true","true","276637","49951","55","3","1512285258350"
"8de6a2af","10","full","easy","true","true","185442","55728","10","4","1512285540825"
"31f6a576","10","pruned","hard","true","false","592843","49564","70","4","1512286612460"
"50f6b001","10","pruned","hard","false","false","280469","35978","32","0","1512288919456"
"40f6b779","10","full","medium","true","false","65923","33644","4","4","1512290610730"
"a2f6ba1d","6","full","hard","true","false","124721","69755","9","4","1512291205424"
"54f6b927","10","full","medium","false","false","209765","107731","36","0","1512291535300"
"5cd6bb63","10","full","easy","false","false","512198","64476","46","0","1512292082400"
"dfe6bee3","6","full","hard","true","false","202401","75763","40","9","1512292726880"
"81a6c621","10","full","medium","true","false","254567","53921","32","3","1512294643662"
"8aa6d830","10","pruned","hard","true","true","463215","46241","70","4","1512299676279"
"b5b6dcbc","10","full","hard","false","false","547488","84539","38","0","1512300780267"
"45d6e106","10","full","easy","false","false","207556","20366","24","0","1512301098225"
"86f6e2cb","6","full","easy","false","false","520096","27005","150","0","1512302283739"
"16f6e58d","10","pruned","hard","false","false","563425","88170","56","0","1512303437325"
"acc6e9d4","10","full","easy","true","true","582681","94527","76","15","1512303937245"
"94d6ef33","6","full","hard","false","false","584263","36321","55","0","1512305252581"
"c7c6f18d","10","pruned","easy","true","true","134330","26488","13","3","1512305502267"
"b0c6f3a8","10","pruned","medium","true","false","382774","11025","51","0","1512306220274"
"92e6f512","10","full","hard","true","true","91934","52887","12","5","1512306649719"
"56e6f5d2","10","full","easy","false","false","605123","63302","33","0","1512307338425"
"73c70015","10","full","hard","true","false","91779","113527","6","6","1512309343819"
"cfd6ff5a","6","full","easy","false","false","515145","12617","106","0","1512309509034"
"92a70054","10","full","easy","false","false","538884","60889","50","0","1512309759453"
"ded705a5","10","full","medium","false","false","156232","22476","6","0","1512310778895"
"7dd704e0","6","pruned","hard","true","true","409764","23533","101","4","1512310964779"
"dfa705b9","6","pruned","easy","true","true","474382","36477","65","3","1512311414936"
"90a7070a","6","full","easy","true","false","591760","64380","65","4","1512311567251"
"6fc70a09","6","pruned","easy","true","true","325747","25884","33","3","1512312009140"
"55a709fd","6","pruned","easy","false","false","509810","130895","30","0","1512312189065"
"dcf70bfd","10","full","medium","false","false","285524","15132","44","0","1512312520132"
"93c70cc1","10","full","medium","true","true","282721","125996","21","9","1512312685466"
"48c70a00","6","pruned","easy","false","false","591289","59844","35","0","1512312757925"
"5dd71076","10","pruned","hard","true","true","349055","35300","28","4","1512313629945"
"1de715c7","6","pruned","easy","false","false","80666","57797","6","0","1512314600253"
"3ab7160d","10","pruned","easy","true","true","497554","23136","65","3","1512315156654"
"dbe71b15","6","full","hard","false","false","109396","35618","15","0","1512315999928"
"eec719ce","10","pruned","easy","true","true","317558","58303","25","3","1512316249364"
"8ab71c6b","6","pruned","easy","true","true","176539","56132","13","3","1512316694312"
"92b722f3","6","full","hard","false","false","354139","62893","38","0","1512318536968"
"abc728e1","10","full","hard","true","true","190755","46492","15","5","1512319678300"
"58d72aaf","10","full","easy","false","false","384940","27663","34","0","1512320314823"
"29e72a67","10","pruned","medium","false","false","586688","36512","118","0","1512320469034"
"53d72c88","10","full","medium","true","false","105318","50468","3","4","1512320628903"
"1bd72c42","10","pruned","hard","true","false","81594","30660","6","3","1512320641823"
"49c72e9b","6","pruned","hard","false","false","84772","91851","8","0","1512321068880"
"58e72ee8","6","pruned","easy","true","true","152035","48795","35","3","1512321230740"
"2bd72f3e","10","pruned","medium","true","true","93047","76947","7","3","1512321496255"
"eba732b3","6","pruned","hard","true","true","41283","32880","4","4","1512321954138"
"6ac7311a","10","full","easy","false","false","562505","84607","77","0","1512322054487"
"60b73429","10","pruned","easy","false","false","237402","5491","19","0","1512322384486"
"eaf73553","6","pruned","hard","false","false","44959","11362","18","0","1512322499939"
"4cb73467","10","full","medium","true","false","457751","35233","70","4","1512323001805"
"eec7360c","6","full","hard","false","false","105098","45324","12","0","1512323120622"
"e0a737b6","6","pruned","hard","false","false","73930","36268","8","0","1512323347978"
"efa7383d","6","full","easy","false","false","203251","50729","49","0","1512323572964"
"f7c73b9d","10","pruned","easy","true","true","184843","28463","3","3","1512324567973"
"cae73bde","6","pruned","hard","false","false","293010","40174","22","0","1512324629089"
"d2d73ea5","6","pruned","easy","false","false","244523","16874","22","0","1512325174810"
"1de74153","10","full","easy","false","false","264707","27245","74","0","1512325897007"
"a0e740f4","6","pruned","easy","true","false","359649","47256","29","2","1512326339330"
"33a74451","10","pruned","medium","true","true","373311","117892","65","9","1512327044783"
"ddb7456a","6","pruned","easy","true","true","119587","20671","13","3","1512327124095"
"13b7468e","10","pruned","hard","true","true","188678","75011","14","15","1512327397701"
"a4f74985","10","full","hard","false","false","241693","38118","38","0","1512327975124"
"92a74a76","6","pruned","hard","false","false","297485","60877","41","0","1512328326685"
"daf74d3f","10","full","easy","true","true","222013","57411","13","5","1512328984428"
"40a74de0","6","full","easy","true","true","544598","29011","33","4","1512329635467"
"bdd7483e","10","pruned","medium","true","true","168699","48218","34","3","1512329893384"
"cce7504c","10","pruned","hard","false","false","536924","20668","87","0","1512330080010"
"2dd74f8e","10","full","hard","false","false","413858","269655","58","0","1512330150084"
"9ae751bc","10","full","easy","true","true","403164","24401","42","4","1512330299902"
"4ed755f1","6","full","easy","true","false","106640","59549","9","4","1512331065488"
"18c75602","10","full","medium","true","true","271822","40575","35","4","1512331313000"
"c9c757af","6","pruned","easy","true","true","89457","54213","8","6","1512331526623"
