AssignmentId,WorkerId,bonus,bonus_reason
3TXMY6UCAFVE282BEIL9SXKAHJCCQW,A188SHJZPHE8BA,1,Bonus for tictactoe task. Thank you for participating in our study!
39JEC7537V867GYS0HFJYKJIYBRCVQ,A27186NOW2EVJJ,1,Bonus for tictactoe task. Thank you for participating in our study!
339ANSOTR69J48QGTNXY7E6WVI9IKH,A6MWJK1YEY5L2,1,Bonus for tictactoe task. Thank you for participating in our study!
33TIN5LC05HLDCMUT8SC3TM4A7PY93,ANQ0RLFEZ17W0,1,Bonus for tictactoe task. Thank you for participating in our study!
3HFNH7HEMILRJKIGG4HSIO5PFBJQGZ,A1WJ3EZ6LXN7B1,1,Bonus for tictactoe task. Thank you for participating in our study!
3LYA37P8IRU9H0CAND5HLR2J0SWKBH,AEKJ0Q3OITMRJ,1,Bonus for tictactoe task. Thank you for participating in our study!
3JW0YLFXRUNS03427IKGWG9ZX0WWWE,AVWHHELH3TZG6,1,Bonus for tictactoe task. Thank you for participating in our study!
3NC5L260MPTIK895Q7J6BYADZWBFOT,A3DS5B06ZCD3E3,1,Bonus for tictactoe task. Thank you for participating in our study!
3OVR4I9USQQB74PWL3FR9Z8MP7S4QA,A2NLAKN6UQK125,1,Bonus for tictactoe task. Thank you for participating in our study!
3U8YCDAGXQNU8G7V22SPXWI98VI0QW,ATGD9YT82E25,1,Bonus for tictactoe task. Thank you for participating in our study!
3F6HPJW4JE76ON6VTYV989TATZRW2Y,AIK9IRPT4M848,1,Bonus for tictactoe task. Thank you for participating in our study!
3TXMY6UCAFVE282BEIL9SXKAHPNQCX,A15LHHN76OW2UM,1,Bonus for tictactoe task. Thank you for participating in our study!
3OXV7EAXLFXXFQN86GWATPZPBBZ63J,AZXRWSMDC8FJN,1,Bonus for tictactoe task. Thank you for participating in our study!
3RWE2M8QWIH95JU3MA08T2N43P40NS,AECIP6RO3TXXW,1,Bonus for tictactoe task. Thank you for participating in our study!
3NG53N1RLWQRQTBJXTQFQ6YHM2H8PJ,A23Q978GYHTPD3,1,Bonus for tictactoe task. Thank you for participating in our study!
3Z3ZLGNNSJ1QP86SLPA8ZUGGBCB3QD,A3ACUGH5N9VQO2,1,Bonus for tictactoe task. Thank you for participating in our study!
3GM6G9ZBKO443A6U8B9I0Y09VARMTQ,AAXX5LDVJ32F8,1,Bonus for tictactoe task. Thank you for participating in our study!
39O5D9O87UZMV7W9G79DFPRZ7XA3C8,A1ZHVMG4DXPLHL,1,Bonus for tictactoe task. Thank you for participating in our study!
3P529IW9KZSAEN68DF3EJH6J4WTFL9,A3QA0Y16Q4273V,1,Bonus for tictactoe task. Thank you for participating in our study!
33L7PJKHCH5PIL4QEAZZVGZEB528TO,AFCMHQWCV6N02,1,Bonus for tictactoe task. Thank you for participating in our study!
39JEC7537V867GYS0HFJYKJIYH3CVE,A3HKMZ9ML9EPUY,1,Bonus for tictactoe task. Thank you for participating in our study!
3ZV9H2YQQEEV952EXY9ERJY2ZDRW39,A2CAVHHY7X7YBP,1,Bonus for tictactoe task. Thank you for participating in our study!
3BV8HQ2ZZX8XZBMTFVBKGXDVHLR6AF,A1QA5EWFMNKGTA,1,Bonus for tictactoe task. Thank you for participating in our study!
3KAKFY4PGV9D8AI98H5ZQSPUK2U3IA,A2D0QT8HAGV27Z,1,Bonus for tictactoe task. Thank you for participating in our study!
39U1BHVTDMY3HOYK2T434ZR3VJJ3T0,ALARJPFSEZGGI,1,Bonus for tictactoe task. Thank you for participating in our study!
3GNA64GUZFBT3NTWZ8Y1ERE0P81Q5P,A3O0QZQ4V2IXT7,1,Bonus for tictactoe task. Thank you for participating in our study!
3EKVH9QMEZB7FH64C3QJGL4PMJT2D3,A2VXEPC4KG1CWU,1,Bonus for tictactoe task. Thank you for participating in our study!
3NQL1CS15SFJAJZXW9X8VBB115KVY4,AG6WV3WODQ7IN,1,Bonus for tictactoe task. Thank you for participating in our study!
34YB12FSQZV0Y5KOOBAB1FLK5HXMGX,A3F7FH2NDBBN1M,1,Bonus for tictactoe task. Thank you for participating in our study!
3GA6AFUKOPVDCF7P2ZNEQGOFKPF3HH,A194UMZESQE6BS,1,Bonus for tictactoe task. Thank you for participating in our study!
3S06PH7KSSB0QWO8TZQ5B2UKUD8D1Q,A2NEFRREWF33YP,1,Bonus for tictactoe task. Thank you for participating in our study!
