,AssignmentId,WorkerId,bonus,bonus_reason
1,3ZAK8W07I5LM09ECJBCU7XGZS0GU0B,A2LTOS0AZ3B28A,1.0,Bonus for tictactoe task. Thank you for participating in our study!
2,3H7XDTSHKDYW3HE2SDGYADOCKXGWGF,A3DUPRZSMU9W5R,1.0,Bonus for tictactoe task. Thank you for participating in our study!
3,38JBBYETQPHMA1ZRCCKRFIK9NO3E4V,A1HDFIW3AHNNAT,1.0,Bonus for tictactoe task. Thank you for participating in our study!
4,3PXX5PX6LY535N3OBMSSRD0OC1MBA3,A2SMYTSOFEFCR3,1.0,Bonus for tictactoe task. Thank you for participating in our study!
5,3LEP4MGT3H713U60VWJUHE8UX4JBD5,ARVXIBUCA8WDZ,1.0,Bonus for tictactoe task. Thank you for participating in our study!
7,3U84XHCDIDKKLWQN8ZY40SLRBUBZ4L,AJMBXR9T9XOUG,1.0,Bonus for tictactoe task. Thank you for participating in our study!
11,3EJPLAJKENNY0JU1RNRJXQ557LHZ66,A3TBR9GIXU42DM,1.0,Bonus for tictactoe task. Thank you for participating in our study!
12,3J2UYBXQQMJ1YYOBNTERRR2JPEZ60M,A27Y4NEIQQH00M,1.0,Bonus for tictactoe task. Thank you for participating in our study!
13,3XLBSAQ9Z5JH4J86AXWB34512W1Z75,A2YG946XZ2OG2R,1.0,Bonus for tictactoe task. Thank you for participating in our study!
21,34BBWHLWHBIAZ8KXI1G1VP1SZA8WI7,A1FQK51ECARQNK,1.0,Bonus for tictactoe task. Thank you for participating in our study!
22,3OSWBBLG1F48GX910SBC6BZMG77DXG,A3MF31JQ350ABS,1.0,Bonus for tictactoe task. Thank you for participating in our study!
23,3Z7ISHFUH12L4XDPK2OHH41WDG7Z8S,A6579YP5QRY5W,1.0,Bonus for tictactoe task. Thank you for participating in our study!
26,3137ONMDKHC2MHSB7DMSO7HCDTCEGI,A2MT00XHG0PLTZ,1.0,Bonus for tictactoe task. Thank you for participating in our study!
27,3MX2NQ3YCA1DCKU8LMTT8ZBU3Q95X0,A1CGRZP4NIAZD4,1.0,Bonus for tictactoe task. Thank you for participating in our study!
32,36W0OB37HXLEX8EIN6INUHUVGZ5ZHF,A3FHT58VC8WMON,1.0,Bonus for tictactoe task. Thank you for participating in our study!
33,37QW5D2ZRHTO3LRBPAU9LB4TQ188SX,A2DWSKGD9RNKMJ,1.0,Bonus for tictactoe task. Thank you for participating in our study!
34,3BGYGHDBBYRKC78OFE62K2EM67P22T,ADTIO3A6TM9CG,1.0,Bonus for tictactoe task. Thank you for participating in our study!
37,3Z2R0DQ0JILC7NK48Y13M3NB3A7E2Z,A3MD34XEB4H6JF,1.0,Bonus for tictactoe task. Thank you for participating in our study!
38,33FOTY3KENSQL4IUT3VURWD3QSOC1V,A2ZGAH6NOSU2PO,1.0,Bonus for tictactoe task. Thank you for participating in our study!
41,3LOTDFNYA86QPHI7HTAGSSO0JJLWFN,A3K00L9I9L92BJ,1.0,Bonus for tictactoe task. Thank you for participating in our study!
46,36H9ULYP6314JXI8AUR132USHQJFJO,A20WI3VW3CBOWN,1.0,Bonus for tictactoe task. Thank you for participating in our study!
48,3PXX5PX6LY535N3OBMSSRD0OC5XABL,A2VZIJ7AZ537QP,1.0,Bonus for tictactoe task. Thank you for participating in our study!
51,37FMASSAYDYIB5MMNAK58BO7PD2IBX,A31CQ2BUTMPXCT,1.0,Bonus for tictactoe task. Thank you for participating in our study!
56,30OG32W0SVI8W99XUHZNERQ9E99NEI,A163XFZG5BI0XU,1.0,Bonus for tictactoe task. Thank you for participating in our study!
63,30ZX6P7VF92KI36WMZCUJJ038ME2JR,A20VNT5IHVO401,1.0,Bonus for tictactoe task. Thank you for participating in our study!
64,3JWH6J9I9TKAP6XDKQXXDJKOBCWNBI,AZTHBV93S8U3T,1.0,Bonus for tictactoe task. Thank you for participating in our study!
