AssignmentId,WorkerId,bonus,bonus_reason
3XXU1SWE8N22L00ED6V37W34DUXA07,A1PAY3X73PQ16S,1,Bonus for tictactoe task. Thank you for participating in our study!
3EFE17QCRDCHWWS4SEOFYOWRLH6SHN,A3FAF93BMDJLAL,1,Bonus for tictactoe task. Thank you for participating in our study!
34BBWHLWHBIAZ8KXI1G1VP0RR7LIWP,A2QWTQ4I70BRWO,1,Bonus for tictactoe task. Thank you for participating in our study!
3EG49X351VJ9VOUMQ53Y05OTRIU6XA,A28IFWT5CR33RZ,1,Bonus for tictactoe task. Thank you for participating in our study!
3H7XDTSHKDYW3HE2SDGYADNBCUPGWR,A2ZBDSR2LZNVAE,1,Bonus for tictactoe task. Thank you for participating in our study!
3QAVNHZ3ENBFIWP02ZHM5GVSGS8LAR,A1BM57TUNAQIXM,1,Bonus for tictactoe task. Thank you for participating in our study!
3MB8LZR5BG0LU9YMEQUBZUYOL4FKLI,A16KMPWYUZO0M6,1,Bonus for tictactoe task. Thank you for participating in our study!
31QNSG6A5S02KN7J17WYQK7WVK3871,A3P4253DFNPWIB,1,Bonus for tictactoe task. Thank you for participating in our study!
3ZAK8W07I5LM09ECJBCU7XFYKYB0UX,A3IRT5NAX14OIT,1,Bonus for tictactoe task. Thank you for participating in our study!
3IXQG4FA2U5P04TJJGESVIO3YIC9BH,AOER0SPVGJQAM,1,Bonus for tictactoe task. Thank you for participating in our study!
