,blocking,blocking_blind,board,density,heuristic,userid
0,-4.42473102824,-3.35675163326,6_hard_full,-2.10012951729,density,11d4bf94
1,-2.32386960504,-2.1379179142,6_hard_full,-2.47411664368,blocking_blind,14b4c043
2,-1.67268306384,-1.90115450585,6_hard_full,-2.81367872801,blocking,14c5dc72
3,-1.38873040051,-1.87656725202,6_hard_full,-2.54585899417,blocking,17b4c1ea
4,-2.27202344137,-2.55437424114,6_hard_full,-2.76707756346,blocking,17e120dd
5,-2.5619854393,-2.50034174291,6_hard_full,-2.53322914658,blocking_blind,18dac9ef
6,-1.85561469694,-1.86405834688,6_hard_full,-1.97981344244,blocking,20bfd7bd
7,-3.26270651056,-2.84282831133,6_hard_full,-3.53559194932,blocking_blind,22dac859
8,-2.2391906021,-1.48692137064,6_hard_full,-2.6554589885,blocking_blind,24a5e25a
9,-3.0379224229,-2.26879295272,6_hard_full,-2.48426307347,blocking_blind,24b61c03
10,-2.06617154861,-1.78147449689,6_hard_full,-3.02792554643,blocking_blind,24f4c091
11,-1.56048438509,-1.47451288717,6_hard_full,-2.78501124224,blocking_blind,25a611ff
12,-5.65809957778,-5.63509869904,6_hard_full,-4.22913235413,density,25b60fb4
13,-1.85677011077,-1.72527404953,6_hard_full,-2.20533170312,blocking_blind,25c4c0ab
14,-1.26776995891,-1.33754463314,6_hard_full,-2.517373954,blocking,26dbf6e9
15,-2.56689915682,-2.52907068212,6_hard_full,-3.08180998693,blocking_blind,31e63b91
16,-2.01937116261,-1.75375209427,6_hard_full,-2.91852115405,blocking_blind,32ebf2e8
17,-2.61676133897,-2.78217720982,6_hard_full,-2.31500761299,density,37f60bbc
18,-3.61658044144,-3.55714143081,6_hard_full,-2.84358915735,density,37f61258
19,-1.9412408053,-1.61189416123,6_hard_full,-2.70674786013,blocking_blind,38ebbf94
20,-2.15148207043,-2.04290157072,6_hard_full,-2.43380371764,blocking_blind,3af4bfbb
21,-1.06756799553,-1.31120541252,6_hard_full,-2.9072846387,blocking,3bb613b2
22,-1.09108893312,-1.20138079726,6_hard_full,-2.54315768195,blocking,3cd60baf
23,-1.61754703204,-1.55768546395,6_hard_full,-2.88664509886,blocking_blind,3df11bae
24,-1.56048438509,-1.47451288717,6_hard_full,-2.78501124224,blocking_blind,3ed61f8d
25,-1.76564050827,-1.45728724605,6_hard_full,-2.68024207064,blocking_blind,43c60cd9
26,-2.42897920364,-2.11418423317,6_hard_full,-2.9638072055,blocking_blind,44a4fa14
27,-1.98233945119,-2.04913324297,6_hard_full,-2.81904732735,blocking,47f614be
28,-1.16506599768,-1.15059671792,6_hard_full,-3.05721020534,blocking_blind,49e6113d
29,-2.83159286861,-1.64284943368,6_hard_full,-2.58673675959,blocking_blind,4af5df5d
30,-1.34489692769,-1.37440361545,6_hard_full,-2.81994892053,blocking,4ed4c1d3
31,-0.671880809707,-0.63313817792,6_hard_full,-2.88958227096,blocking_blind,50c60ba6
32,-1.99973412476,-2.14126497735,6_hard_full,-2.94347418962,blocking,53c4c041
33,-0.985122021802,-1.0355520515,6_hard_full,-2.5530413114,blocking,54f4bf95
34,-2.40148943837,-2.87623670455,6_hard_full,-2.82374528366,blocking,55f5fe54
35,-1.05344187664,-1.03543468803,6_hard_full,-2.52757743833,blocking_blind,57a4bf4b
36,-2.6637984841,-2.396906109,6_hard_full,-2.54656159815,blocking_blind,5ce612bc
