path,length,count,board
"[[1, 4, 1], [1, 5, 2], [2, 5, 1], [0, 2, 2]]",4,4,6_easy_full
"[[5, 4, 1], [4, 1, 2], [3, 1, 1], [4, 4, 2]]",4,439,6_easy_full
"[[0, 2, 1], [3, 5, 2], [3, 1, 1], [2, 5, 2]]",4,12,6_easy_full
"[[5, 0, 1], [5, 4, 2], [1, 5, 1], [1, 4, 2]]",4,1,6_easy_full
"[[3, 1, 1]]",1,3988,6_easy_full
"[[5, 2, 1], [4, 5, 2], [4, 4, 1], [4, 1, 2], [3, 1, 1]]",5,2,6_easy_full
"[[4, 1, 1], [2, 5, 2], [5, 2, 1], [4, 5, 2], [4, 4, 1]]",5,3,6_easy_full
"[[0, 5, 1], [2, 5, 2], [5, 2, 1]]",3,132,6_easy_full
"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [2, 5, 2], [5, 2, 1]]",5,7,6_easy_full
"[[0, 2, 1], [3, 5, 2], [4, 5, 1]]",3,138,6_easy_full
"[[4, 5, 1], [4, 4, 2], [4, 1, 1]]",3,78,6_easy_full
"[[5, 2, 1], [5, 1, 2]]",2,109,6_easy_full
"[[4, 5, 1], [4, 1, 2]]",2,69,6_easy_full
"[[1, 4, 1], [1, 5, 2], [4, 1, 1], [5, 5, 2]]",4,3,6_easy_full
"[[3, 5, 1], [0, 2, 2], [2, 5, 1], [5, 1, 2]]",4,2,6_easy_full
"[[0, 2, 1], [3, 5, 2], [2, 5, 1]]",3,194,6_easy_full
"[[0, 2, 1], [3, 5, 2], [4, 1, 1], [4, 4, 2]]",4,11,6_easy_full
"[[1, 4, 1], [1, 5, 2], [4, 1, 1], [4, 5, 2]]",4,7,6_easy_full
"[[5, 3, 1], [1, 4, 2], [0, 5, 1]]",3,1,6_easy_full
"[[1, 4, 1], [1, 5, 2], [5, 1, 1], [4, 4, 2]]",4,1,6_easy_full
"[[0, 2, 1], [3, 5, 2], [0, 5, 1], [5, 1, 2]]",4,3,6_easy_full
"[[3, 1, 1], [4, 1, 2], [4, 4, 1], [2, 5, 2]]",4,3,6_easy_full
"[[3, 5, 1], [0, 2, 2], [1, 4, 1], [1, 5, 2]]",4,112,6_easy_full
"[[1, 5, 1], [1, 4, 2], [0, 2, 1]]",3,265,6_easy_full
"[[4, 1, 1], [4, 4, 2], [4, 5, 1], [1, 5, 2]]",4,1,6_easy_full
