,board,heuristic,likelihoods_block,likelihoods_density,likelihoods_interaction,userid
0,6_hard_full,density,-4.57257058785,-3.29579688679,-4.23884207918,11d4bf94
1,6_hard_full,interaction,-2.10010890212,-2.60291959693,-1.76587684392,14b4c043
2,6_hard_full,blocking,-1.7401738333,-2.44880747886,-3.16339432813,14c5dc72
3,6_hard_full,interaction,-2.10010890212,-2.60291959693,-1.76587684392,17b4c1ea
4,6_hard_full,interaction,-2.53494115165,-2.31530500853,-2.20073436347,17e120dd
5,6_hard_full,blocking,-1.50744507654,-2.78518716976,-2.15847096712,18dac9ef
6,6_hard_full,interaction,-2.53494115165,-2.31530500853,-2.20073436347,20bfd7bd
7,6_hard_full,interaction,-3.14798508369,-3.29579688679,-2.81383892739,22dac859
8,6_hard_full,blocking,-1.50744507654,-2.78518716976,-2.15847096712,24a5e25a
9,6_hard_full,density,-4.65907569578,-3.70099217703,-4.32539689292,24b61c03
10,6_hard_full,blocking,-1.50744507654,-2.78518716976,-2.15847096712,24f4c091
11,6_hard_full,blocking,-1.50744507654,-2.78518716976,-2.15847096712,25a611ff
12,6_hard_full,interaction,-2.53494115165,-2.31530500853,-2.20073436347,25b60fb4
13,6_hard_full,interaction,-2.53494115165,-2.31530500853,-2.20073436347,25c4c0ab
14,6_hard_full,blocking,-1.50744507654,-2.78518716976,-2.15847096712,26dbf6e9
15,6_hard_full,density,-10.8202781595,-4.3933303405,-10.8202781595,31e63b91
16,6_hard_full,blocking,-1.50744507654,-2.78518716976,-2.15847096712,32ebf2e8
17,6_hard_full,interaction,-2.53494115165,-2.31530500853,-2.20073436347,37f60bbc
18,6_hard_full,blocking,-1.50744507654,-2.78518716976,-2.15847096712,37f61258
19,6_hard_full,blocking,-1.7401738333,-2.44880747886,-3.16339432813,38ebbf94
20,6_hard_full,interaction,-2.25662774709,-2.44880747886,-1.92240354918,3af4bfbb
21,6_hard_full,interaction,-2.10010890212,-2.60291959693,-1.76587684392,3bb613b2
22,6_hard_full,interaction,-2.53494115165,-2.31530500853,-2.20073436347,3cd60baf
23,6_hard_full,blocking,-1.50744507654,-2.78518716976,-2.15847096712,3df11bae
24,6_hard_full,blocking,-1.50744507654,-2.78518716976,-2.15847096712,3ed61f8d
25,6_hard_full,interaction,-2.53494115165,-2.31530500853,-2.20073436347,43c60cd9
26,6_hard_full,interaction,-2.10010890212,-2.60291959693,-1.76587684392,44a4fa14
27,6_hard_full,interaction,-2.53494115165,-2.31530500853,-2.20073436347,47f614be
28,6_hard_full,blocking,-1.50744507654,-2.78518716976,-2.15847096712,49e6113d
29,6_hard_full,interaction,-2.53494115165,-2.31530500853,-2.20073436347,4af5df5d
